replicate,che10_pct,che_ctp40_pct,pure_premium,gross_premium,affordable_contribution,expected_claim_random,min_subsidy_random,expected_claim_adverse,min_subsidy_adverse
0,14.367624794002614,7.095031254701446,18897.498914922013,23971.609080339083,10709.594586128318,18978.856725277772,11364.0274130182,36894.901854276584,31947.430269195433
1,14.749842943058184,6.311839993305942,20108.987033330333,25515.61086460666,10725.86273327573,20158.28863277335,12764.069048587813,40438.630266923414,36056.01628763476
2,14.545055845032678,6.718805695053484,18018.447396905445,22855.150491076874,10597.744001457731,18050.997275175127,10362.578041989362,34143.413003521506,28697.414773524833
3,14.872098868644407,7.412447675830864,19340.806372928742,24537.566458169505,10635.271982869717,19222.026946398008,11822.794531710617,36889.74674727613,32088.815732560437
4,15.765813964255537,6.755875145982047,19319.408556456183,24505.612964141037,10704.148588132868,19555.309651121184,11909.309459874188,36391.721324026745,31252.88012558742
5,15.433590196551664,7.581299502089868,19352.816111049695,24550.254773937708,10612.015634761321,19582.42463139762,12058.224720310463,38577.38397155763,33697.65309740408
6,14.066471961393571,6.255149857165843,19342.0101468758,24535.596434260315,10736.562508635086,19961.675427854032,12467.516453745993,40592.53953758013,36074.34056981904
7,12.902184161858257,5.641886267459275,17970.513166564706,22794.56846668201,10637.339337038507,18238.022402223265,10565.818998254024,36360.038812559884,31317.13892531825
8,14.032157729853651,6.010268349917583,18460.138347757853,23426.812549982664,10693.277902479342,18780.121759149733,11153.615713944488,38217.887196049625,33426.37971642845
9,13.121502211104987,6.439027377409985,18349.646502425392,23276.546053326296,10633.987800107241,19110.837162497766,11642.975585946388,36862.29500019895,32011.01612354537
10,15.116253332118779,7.158138773485215,19878.569305444027,25217.368367545085,10647.04459976766,20167.789003072503,12764.454328359483,39666.58432665012,35174.815666122086
11,13.270197475725634,6.174702320174035,18825.687240569147,23881.284549836004,10689.369862775957,18233.50223496366,10503.2649537129,35986.15162646779,30908.548524303682
12,13.35075752492465,6.738196339480005,19142.879129946785,24288.322870028634,10641.752289005994,19195.687035515562,11721.994935343799,39802.50750835774,35197.506957392616
13,14.403984638041006,6.230128222098432,18312.086118734467,23227.085752719555,10725.150303914821,18667.7487145258,10948.374471350939,35458.88728341385,30258.59774912183
14,13.021876298549499,5.435172659957739,18858.62075910841,23924.910985885388,10618.220741110417,18925.07008725551,11413.590705007024,36141.301501632595,31150.14321950786
15,12.7299713725392,5.6401586474540215,17518.11981911766,22228.23493219199,10630.773661574538,17449.2774028925,9677.033611328417,35046.578470152934,30044.471122995434
16,15.371011728039147,7.8921270448508665,20040.109055475375,25423.53242304254,10625.622076483727,19939.956016747514,12510.851366169376,36846.38922811011,31839.154832806136
17,14.277751546618758,6.804133376095366,19759.070336723024,25068.28639883958,10625.692070665466,20035.16946580715,12676.25301769739,43882.70900114576,40100.467790686904
18,13.408691690547512,6.3989568163804025,19599.499194304117,24863.16424493815,10690.17408346081,19571.890615051103,12061.186208730765,42940.39640045857,38821.179321024
19,12.818374612788237,5.738246693955971,18861.42751394031,23921.688586426528,10643.80195830542,18743.431651141203,11144.626454466881,35366.5320454402,30268.035708583284
