characteristic,overall,overall_se,informal,informal_se,formal,formal_se,p_diff,format,n_households,n_informal,n_formal
Household size,5.5317159345206335,0.1255465001925518,5.371128126452978,0.12532890195354038,6.289940273193011,0.2968068686681934,0.004346747505671766,mean,4968,4107,861
Head's age (years),48.83701126605403,0.3832722174301434,49.27051204449394,0.4260723155135616,46.79021303770976,0.6997070209231718,0.002464869984600826,mean,4968,4107,861
Female-headed (%),18.05299312735592,1.1254790707864484,18.867680613393844,1.2059949323631944,14.206400488981242,1.931619206872791,0.04066325126888026,pct,4968,4107,861
Urban (%),31.487298089215106,2.822028591487102,28.357959494972203,2.8265420234098837,46.26264569905445,4.701161683655002,0.0010984071450867994,pct,4968,4107,861
Children under 5 (n),0.8082554580524983,0.03616310420161714,0.808941798930617,0.038337456551775936,0.8050148611187876,0.07456423155509999,0.9626431306853631,mean,4968,4107,861
Members aged 60+ (n),0.3655839204802147,0.013166348776800195,0.3987992431854503,0.014631080655963878,0.20875591220852466,0.022297056902771402,1.0329515021112456e-12,mean,4968,4107,861
Any member with severe functional difficulty (%),11.992006484117365,0.8315186847300072,11.752273675076406,0.8346549489944985,13.123918381915805,2.1245004617362824,0.5478934427038635,pct,4968,4107,861
Total annual consumption (N),2066835.4317377487,50274.61698530807,1886307.0828811382,45155.70794785271,2919210.151652675,107089.80364240427,0.0,mean,4968,4107,861
Consumption per capita (N),481467.3354803201,12900.990713468662,457485.9361525335,12059.913237108762,594696.8568527548,27855.523999883924,6.173997820546617e-06,mean,4968,4107,861
Food share of consumption (%),65.58790988537856,0.4318736539688071,66.96044462755077,0.42648447631401365,59.10741015310775,0.8355628894988053,0.0,pct,4968,4107,861
Annual out-of-pocket health spending (N),95680.60149241929,3692.5871726289824,93367.02532676136,3911.582614594828,106604.28106238457,8703.164965461516,0.16535206574801942,mean,4968,4107,861
OOP as share of consumption (%),4.73788156712843,0.1633333327080375,4.975245070127974,0.18296385737374174,3.617156480632666,0.2476430845599306,1.0298945436248985e-05,pct,4968,4107,861
Any member sought care in past 4 weeks (%),60.39169486573969,1.349231019042519,60.12569673395486,1.4305675550829935,61.647619957361066,2.593778930722691,0.6073963232320165,pct,4968,4107,861
Any member hospitalized in past 12 months (%),13.572117586809785,0.8151463428264579,13.691058875480442,0.9060614822591394,13.010529624259382,1.9225140619872263,0.748816693654355,pct,4968,4107,861
