measure,dimension,group,incidence_pct,incidence_se,ci_low,ci_high,mean_overshoot_pct,mean_positive_overshoot_pct,n
Budget share > 10%,Overall,All households,16.67009808666336,0.8844224343388376,14.936661968239996,18.403534205086718,1.8589027416574353,11.151120599252025,4685
Budget share > 10%,Sector,Formal,16.42958665062391,2.0341856260834685,12.44265608563125,20.41651721561657,1.569963270378626,9.555707661817573,809
Budget share > 10%,Sector,Informal,16.73011127145999,0.9272023006922677,14.91282815572047,18.54739438719951,1.9309998451068233,11.542062176244631,3876
Budget share > 10%,Consumption quintile,Q1 (poorest),13.556378673103522,1.8462000039548572,9.937893157094296,17.17486418911275,1.7112637005692184,12.62330996967829,700
Budget share > 10%,Consumption quintile,Q2,17.145452317467303,2.1329611652842377,12.96492525308761,21.32597938184699,1.6105435339300298,9.393415257346424,707
Budget share > 10%,Consumption quintile,Q3,17.569662702353074,2.1495550369397205,13.356612247164556,21.782713157541593,1.5927830377971706,9.065529969359353,834
Budget share > 10%,Consumption quintile,Q4,17.109664731636226,1.9542347812294414,13.27943494309101,20.939894520181443,1.89695155095876,11.087017663480255,1016
Budget share > 10%,Consumption quintile,Q5 (richest),17.96805435868748,1.6686547787039194,14.697551089797145,21.238557627577816,2.4829975190926845,13.81895596220837,1428
Budget share > 10%,Residence,Rural,16.822308695220674,1.1153068094807257,14.636347516926174,19.00826987351517,2.02379392949624,12.030417264136956,3205
Budget share > 10%,Residence,Urban,16.404056481487352,1.5397346995096168,13.3862319247019,19.4218810382728,1.5706973615738664,9.575054580837751,1480
Budget share > 10%,Zone,North Central,23.269801345351357,2.5189753190222186,18.332700442122515,28.2069022485802,2.8061539518676155,12.059208887179457,804
Budget share > 10%,Zone,North East,16.060381845875,1.7958082012691203,12.540662448245868,19.58010124350413,1.6963141475789159,10.562103465893637,808
Budget share > 10%,Zone,North West,10.553939022555245,1.5723022749373798,7.472283190867586,13.635594854242902,1.0075651242615629,9.546815858119468,773
Budget share > 10%,Zone,South East,30.66634925706066,2.938035134834795,24.907906207471182,36.42479230665014,3.6145751092456533,11.786779961796165,786
Budget share > 10%,Zone,South South,18.785292349368344,2.3913628864157763,14.098307218027673,23.472277480709014,2.303239145713713,12.260863993373835,762
Budget share > 10%,Zone,South West,11.24400914920308,1.4719520724432569,8.359036100245204,14.128982198160955,1.1441458516259904,10.175604061182055,752
