outcome,variable,beta,mean_x,CI_x,contribution,share_pct,total_CI
"CHE, budget share > 10%",Rural,0.04984396518741695,0.7281734281431309,-0.11352819357522916,-0.02939664364680983,112.50837897592945,-0.02612840387034559
"CHE, budget share > 10%",Household size,-0.0037672441830386354,7.73391665264602,-0.15746384947137657,0.03273035621633526,-125.26733886520542,-0.02612840387034559
"CHE, budget share > 10%",Female head,0.026137950238485336,0.11194019877645632,0.24573871558359114,0.005129532594570024,-19.632016636086153,-0.02612840387034559
"CHE, budget share > 10%",Head aged 60+,0.07738140407599624,0.2259599105361063,0.03237853099199323,0.004038980440432416,-15.45819813745475,-0.02612840387034559
"CHE, budget share > 10%",Any child under 5,0.011737418074623682,0.6137305342548146,-0.16078856373499803,-0.008263272404788812,31.62563027497905,-0.02612840387034559
"CHE, budget share > 10%",Any member 60+,-0.03123433988279554,0.2915586128093984,-0.022063581679769653,0.0014334443299989553,-5.486153448607099,-0.02612840387034559
"CHE, budget share > 10%",Severe functional difficulty,0.11324285178442023,0.1415293852322464,-0.08103345001640727,-0.009265489250525772,35.461367240429226,-0.02612840387034559
"CHE, budget share > 10%",Informal sector,0.04568224960516368,0.801265853574414,-0.04650222161484127,-0.012143515419453842,46.47630019695201,-0.02612840387034559
"CHE, budget share > 10%",Hospitalization in past year,0.29726722225839664,0.16010698802849158,0.01388468105158677,0.004714545480604935,-18.043756151349545,-0.02612840387034559
"CHE, budget share > 10%",Residual,,,,-0.015106342210708924,57.81578655041327,-0.02612840387034559
"CHE, capacity to pay >= 40%",Rural,0.052352040103238635,0.7281734281431309,-0.11352819357522916,-0.0651619551845956,37.41667780819165,-0.17415216689903362
"CHE, capacity to pay >= 40%",Household size,-0.003463828922198971,7.73391665264602,-0.15746384947137657,0.06351242979218163,-36.469503034667135,-0.17415216689903362
"CHE, capacity to pay >= 40%",Female head,0.010310897405490953,0.11194019877645632,0.24573871558359114,0.004270493501310124,-2.4521621392089727,-0.17415216689903362
"CHE, capacity to pay >= 40%",Head aged 60+,0.027090057261475165,0.2259599105361063,0.03237853099199323,0.002984148286861532,-1.713529231359849,-0.17415216689903362
"CHE, capacity to pay >= 40%",Any child under 5,0.014711751825710646,0.6137305342548146,-0.16078856373499803,-0.021858442760555576,12.551346991409078,-0.17415216689903362
"CHE, capacity to pay >= 40%",Any member 60+,0.003600851025458107,0.2915586128093984,-0.022063581679769653,-0.0003487618607505759,0.20026271677272547,-0.17415216689903362
"CHE, capacity to pay >= 40%",Severe functional difficulty,0.07277436000571919,0.1415293852322464,-0.08103345001640727,-0.012566411773489944,7.215765383370417,-0.17415216689903362
"CHE, capacity to pay >= 40%",Informal sector,0.044839381555078064,0.801265853574414,-0.04650222161484127,-0.02515543854030511,14.444516532997957,-0.17415216689903362
"CHE, capacity to pay >= 40%",Hospitalization in past year,0.13800925172931294,0.16010698802849158,0.01388468105158677,0.0046193018105330904,-2.652451527181499,-0.17415216689903362
"CHE, capacity to pay >= 40%",Residual,,,,-0.12444753017022323,71.45907649967563,-0.17415216689903362
