measure,cum_pop_share,cum_che_share
Budget share > 10%,0.0,0.0
Budget share > 10%,0.005,0.0014017475932664536
Budget share > 10%,0.01,0.005886914723629176
Budget share > 10%,0.015,0.015940876586518507
Budget share > 10%,0.02,0.026515668643787977
Budget share > 10%,0.025,0.027559665386538715
Budget share > 10%,0.03,0.028942913462838667
Budget share > 10%,0.035,0.035735904998802075
Budget share > 10%,0.04,0.040347524740275593
Budget share > 10%,0.045,0.04178019723607713
Budget share > 10%,0.05,0.04689574901495061
Budget share > 10%,0.055,0.04975447418525879
Budget share > 10%,0.06,0.05164132065065565
Budget share > 10%,0.065,0.05569715857923151
Budget share > 10%,0.07,0.059419904473035925
Budget share > 10%,0.075,0.0647808643961178
Budget share > 10%,0.08,0.06649542287159946
Budget share > 10%,0.085,0.0689692172178798
Budget share > 10%,0.09,0.06919770254165324
Budget share > 10%,0.095,0.08283665252193123
Budget share > 10%,0.1,0.08599603291882765
Budget share > 10%,0.105,0.08653443963332282
Budget share > 10%,0.11,0.09082540141016349
Budget share > 10%,0.115,0.10371154952535379
Budget share > 10%,0.12,0.10371154952535379
Budget share > 10%,0.125,0.11081852454987606
Budget share > 10%,0.13,0.11081852454987606
Budget share > 10%,0.135,0.12098098828897852
Budget share > 10%,0.14,0.12499806982424601
Budget share > 10%,0.145,0.12578623929847924
Budget share > 10%,0.15,0.1329095211113079
Budget share > 10%,0.155,0.1377345377808638
Budget share > 10%,0.16,0.14281341027447064
Budget share > 10%,0.165,0.14627396149313415
Budget share > 10%,0.17,0.14830632230609467
Budget share > 10%,0.17500000000000002,0.14969202785341407
Budget share > 10%,0.18,0.1519734817549003
Budget share > 10%,0.185,0.154320787311026
Budget share > 10%,0.19,0.15787106254371358
Budget share > 10%,0.195,0.15924652429284286
Budget share > 10%,0.2,0.16260321592584107
Budget share > 10%,0.20500000000000002,0.17276631498243208
Budget share > 10%,0.21,0.17462567435142187
Budget share > 10%,0.215,0.1748238599497037
Budget share > 10%,0.22,0.17810821662698545
Budget share > 10%,0.225,0.18373959665169384
Budget share > 10%,0.23,0.19077652080406673
Budget share > 10%,0.23500000000000001,0.1955990787607863
Budget share > 10%,0.24,0.1979891567853336
Budget share > 10%,0.245,0.207392788778974
Budget share > 10%,0.25,0.21346721133571156
Budget share > 10%,0.255,0.22535715332227035
Budget share > 10%,0.26,0.22814116566982126
Budget share > 10%,0.265,0.23078776149173286
Budget share > 10%,0.27,0.2354164767268778
Budget share > 10%,0.275,0.23679460794027712
Budget share > 10%,0.28,0.24069827810348726
Budget share > 10%,0.28500000000000003,0.24337690364110487
Budget share > 10%,0.29,0.25047239167151153
Budget share > 10%,0.295,0.25875369531701115
Budget share > 10%,0.3,0.2623290721582238
Budget share > 10%,0.305,0.2787366878095429
Budget share > 10%,0.31,0.285983956051763
Budget share > 10%,0.315,0.2962875680731232
Budget share > 10%,0.32,0.29771599428053025
Budget share > 10%,0.325,0.3110536509016523
Budget share > 10%,0.33,0.31206587334157404
Budget share > 10%,0.335,0.31442659131680817
Budget share > 10%,0.34,0.3187273221220503
Budget share > 10%,0.34500000000000003,0.33039862248096014
Budget share > 10%,0.35000000000000003,0.3336215405633303
Budget share > 10%,0.355,0.34135278929449614
Budget share > 10%,0.36,0.34793140298028846
Budget share > 10%,0.365,0.3507308467547736
Budget share > 10%,0.37,0.3511689202674065
Budget share > 10%,0.375,0.3547154234986463
Budget share > 10%,0.38,0.35502992877860823
Budget share > 10%,0.385,0.3550418377997692
Budget share > 10%,0.39,0.3598294308421871
Budget share > 10%,0.395,0.3670878732281586
Budget share > 10%,0.4,0.36813355470349163
Budget share > 10%,0.405,0.37161138679812034
Budget share > 10%,0.41000000000000003,0.37416872156621633
Budget share > 10%,0.41500000000000004,0.37416872156621633
Budget share > 10%,0.42,0.37556228032479805
Budget share > 10%,0.425,0.3789851110159036
Budget share > 10%,0.43,0.3881278965311342
Budget share > 10%,0.435,0.39765430910177796
Budget share > 10%,0.44,0.40348566714983897
Budget share > 10%,0.445,0.40542232570345993
Budget share > 10%,0.45,0.40822167172881646
Budget share > 10%,0.455,0.40825906165158016
Budget share > 10%,0.46,0.4147973405432712
Budget share > 10%,0.465,0.4147973405432712
Budget share > 10%,0.47000000000000003,0.41685104972502796
Budget share > 10%,0.47500000000000003,0.4276673017045603
Budget share > 10%,0.48,0.4278696202181352
Budget share > 10%,0.485,0.4283985462965414
Budget share > 10%,0.49,0.4353732389157137
Budget share > 10%,0.495,0.44351714868092323
Budget share > 10%,0.5,0.44463380652158807
Budget share > 10%,0.505,0.44937649493255755
Budget share > 10%,0.51,0.45307820833707374
Budget share > 10%,0.515,0.4604280450569021
Budget share > 10%,0.52,0.4686572844185705
Budget share > 10%,0.525,0.47895204645347833
Budget share > 10%,0.53,0.48839789087197516
Budget share > 10%,0.535,0.4958727188321769
Budget share > 10%,0.54,0.5018868640295668
Budget share > 10%,0.545,0.5082204205849438
Budget share > 10%,0.55,0.5168626103825035
Budget share > 10%,0.555,0.5184964097568469
Budget share > 10%,0.56,0.5311315810931904
Budget share > 10%,0.5650000000000001,0.5353510582279211
Budget share > 10%,0.5700000000000001,0.5432838887432264
Budget share > 10%,0.5750000000000001,0.5496856159629827
Budget share > 10%,0.58,0.5540961643657788
Budget share > 10%,0.585,0.5630699966583596
Budget share > 10%,0.59,0.56445853906689
Budget share > 10%,0.595,0.5683232835369705
Budget share > 10%,0.6,0.5791341521532981
Budget share > 10%,0.605,0.5824669539626247
Budget share > 10%,0.61,0.5841219451672632
Budget share > 10%,0.615,0.5867830607842669
Budget share > 10%,0.62,0.5978775380658337
Budget share > 10%,0.625,0.6061837704231088
Budget share > 10%,0.63,0.6093019046832303
Budget share > 10%,0.635,0.6133049401475993
Budget share > 10%,0.64,0.6169554526460344
Budget share > 10%,0.645,0.6232034122990205
Budget share > 10%,0.65,0.6340681282088019
Budget share > 10%,0.655,0.6354501499100818
Budget share > 10%,0.66,0.6357061358944365
Budget share > 10%,0.665,0.6424916040669079
Budget share > 10%,0.67,0.6424916040669079
Budget share > 10%,0.675,0.645246310993777
Budget share > 10%,0.68,0.6491118480231176
Budget share > 10%,0.685,0.6603384576820956
Budget share > 10%,0.6900000000000001,0.662302568302108
Budget share > 10%,0.6950000000000001,0.6645420176931158
Budget share > 10%,0.7000000000000001,0.6744845833651507
Budget share > 10%,0.705,0.6821831592996057
Budget share > 10%,0.71,0.6898650039573466
Budget share > 10%,0.715,0.6931811671297216
Budget share > 10%,0.72,0.6996488925220046
Budget share > 10%,0.725,0.7062069956022529
Budget share > 10%,0.73,0.7070353732060284
Budget share > 10%,0.735,0.7105671925463137
Budget share > 10%,0.74,0.717182424243627
Budget share > 10%,0.745,0.721466060115373
Budget share > 10%,0.75,0.728167724091346
Budget share > 10%,0.755,0.734610691192305
Budget share > 10%,0.76,0.7372580526069211
Budget share > 10%,0.765,0.7427699815850403
Budget share > 10%,0.77,0.7547800257767548
Budget share > 10%,0.775,0.7638961811726489
Budget share > 10%,0.78,0.7672256490744183
Budget share > 10%,0.785,0.7677662723762348
Budget share > 10%,0.79,0.7687205782815156
Budget share > 10%,0.795,0.7814308118702321
Budget share > 10%,0.8,0.7844319346669387
Budget share > 10%,0.805,0.7891720199445811
Budget share > 10%,0.81,0.7928080021126304
Budget share > 10%,0.8150000000000001,0.8002941377580572
Budget share > 10%,0.8200000000000001,0.8082754747789608
Budget share > 10%,0.8250000000000001,0.8145350628583399
Budget share > 10%,0.8300000000000001,0.8176658083943372
Budget share > 10%,0.835,0.8239527739315958
Budget share > 10%,0.84,0.8290185657748018
Budget share > 10%,0.845,0.8327997996353962
Budget share > 10%,0.85,0.8353834685793049
Budget share > 10%,0.855,0.8416984114183377
Budget share > 10%,0.86,0.8500528106199916
Budget share > 10%,0.865,0.850721459564787
Budget share > 10%,0.87,0.8560080808971128
Budget share > 10%,0.875,0.8586589479758168
Budget share > 10%,0.88,0.8715650597448852
Budget share > 10%,0.885,0.8779691067432436
Budget share > 10%,0.89,0.8824546010909321
Budget share > 10%,0.895,0.8870842510562825
Budget share > 10%,0.9,0.8927532987661227
Budget share > 10%,0.905,0.9014529620045657
Budget share > 10%,0.91,0.9062067510390848
Budget share > 10%,0.915,0.9108378807657267
Budget share > 10%,0.92,0.915833319863246
Budget share > 10%,0.925,0.9262081988466095
Budget share > 10%,0.93,0.9330961466374039
Budget share > 10%,0.935,0.9362014935240941
Budget share > 10%,0.9400000000000001,0.9415038007525224
Budget share > 10%,0.9450000000000001,0.9466660260527121
Budget share > 10%,0.9500000000000001,0.9526239973570808
Budget share > 10%,0.9550000000000001,0.9564372018473424
Budget share > 10%,0.96,0.961314226936376
Budget share > 10%,0.965,0.9667149101180186
Budget share > 10%,0.97,0.9695885037777843
Budget share > 10%,0.975,0.9716015542174511
Budget share > 10%,0.98,0.9738543994484025
Budget share > 10%,0.985,0.9782262399822413
Budget share > 10%,0.99,0.9865819420508443
Budget share > 10%,0.995,0.9950261833730674
Budget share > 10%,1.0,1.0000000000000004
Capacity to pay >= 40%,0.0,0.0
Capacity to pay >= 40%,0.005,0.0020613793275584442
Capacity to pay >= 40%,0.01,0.012758701069609385
Capacity to pay >= 40%,0.015,0.028799183293187855
Capacity to pay >= 40%,0.02,0.04326300602774269
Capacity to pay >= 40%,0.025,0.04859804842504861
Capacity to pay >= 40%,0.03,0.05063222276789529
Capacity to pay >= 40%,0.035,0.060968190801977434
Capacity to pay >= 40%,0.04,0.06938605487638043
Capacity to pay >= 40%,0.045,0.0780048962332586
Capacity to pay >= 40%,0.05,0.0888673175301453
Capacity to pay >= 40%,0.055,0.09503289772521453
Capacity to pay >= 40%,0.06,0.09927458808989277
Capacity to pay >= 40%,0.065,0.10523901456870785
Capacity to pay >= 40%,0.07,0.10556338505413819
Capacity to pay >= 40%,0.075,0.11859615308998182
Capacity to pay >= 40%,0.08,0.12031105639205403
Capacity to pay >= 40%,0.085,0.12465321734245317
Capacity to pay >= 40%,0.09,0.125314377983664
Capacity to pay >= 40%,0.095,0.14257082744077065
Capacity to pay >= 40%,0.1,0.14904412709032652
Capacity to pay >= 40%,0.105,0.15117541156916442
Capacity to pay >= 40%,0.11,0.15656349818906187
Capacity to pay >= 40%,0.115,0.17141159754370247
Capacity to pay >= 40%,0.12,0.17255911651689654
Capacity to pay >= 40%,0.125,0.17843363709384383
Capacity to pay >= 40%,0.13,0.17843363709384383
Capacity to pay >= 40%,0.135,0.19291792337273986
Capacity to pay >= 40%,0.14,0.19720283776977154
Capacity to pay >= 40%,0.145,0.19830933492834898
Capacity to pay >= 40%,0.15,0.20108884559736154
Capacity to pay >= 40%,0.155,0.21464200467346758
Capacity to pay >= 40%,0.16,0.2237524959188737
Capacity to pay >= 40%,0.165,0.2299626546457043
Capacity to pay >= 40%,0.17,0.23421403363114662
Capacity to pay >= 40%,0.17500000000000002,0.23625182187708246
Capacity to pay >= 40%,0.18,0.24138356062380895
Capacity to pay >= 40%,0.185,0.24483545679406396
Capacity to pay >= 40%,0.19,0.25104192835263517
Capacity to pay >= 40%,0.195,0.2589542347460184
Capacity to pay >= 40%,0.2,0.2650732913181707
Capacity to pay >= 40%,0.20500000000000002,0.28001892232893366
Capacity to pay >= 40%,0.21,0.2878610226422822
Capacity to pay >= 40%,0.215,0.29419714696279886
Capacity to pay >= 40%,0.22,0.2990270500005494
Capacity to pay >= 40%,0.225,0.3082132731701042
Capacity to pay >= 40%,0.23,0.3185616197961154
Capacity to pay >= 40%,0.23500000000000001,0.3236191995680155
