model,term,coef,se,z,p,exp_coef,ci_low,ci_high
"Frequency: outpatient (Poisson, annual rate)",Intercept,0.6009600280591816,0.15396953083924456,3.9031100814785735,9.496448431119817e-05,1.8238689255162426,1.3487520366464818,2.4663524258578553
"Frequency: outpatient (Poisson, annual rate)","C(age_band, Treatment(reference='25-44'))[T.0-4]",0.2000143929636606,0.058633488408235644,3.4112654456282807,0.0006466210782376322,1.2214203378921948,1.088818056077676,1.370171658606527
"Frequency: outpatient (Poisson, annual rate)","C(age_band, Treatment(reference='25-44'))[T.15-24]",-0.42163183179809327,0.07256343418899706,-5.8105275268521694,6.227629147724506e-09,0.6559755042627702,0.5690106301841981,0.7562316754143928
"Frequency: outpatient (Poisson, annual rate)","C(age_band, Treatment(reference='25-44'))[T.45-59]",0.21815916562305132,0.06305915478602939,3.459595460219901,0.0005409874801509323,1.243785019682662,1.0991786534756074,1.407415591901622
"Frequency: outpatient (Poisson, annual rate)","C(age_band, Treatment(reference='25-44'))[T.5-14]",-0.34694574668227,0.06692236809870691,-5.184301699702909,2.1682570207092796e-07,0.7068436758320288,0.6199517738038188,0.8059142713604679
"Frequency: outpatient (Poisson, annual rate)","C(age_band, Treatment(reference='25-44'))[T.60+]",0.44656872709957907,0.06462346456000272,6.910318568342017,4.835665364780014e-12,1.5629401002047718,1.3769993346550435,1.7739890611058653
"Frequency: outpatient (Poisson, annual rate)",C(zone)[T.North East],0.507475658392275,0.11207585899988308,4.527965816374465,5.9554212686221375e-06,1.6610927324997156,1.3334998801351206,2.0691633400700304
"Frequency: outpatient (Poisson, annual rate)",C(zone)[T.North West],0.4145304690328868,0.1114779075876754,3.7184988308725293,0.00020041021975398464,1.513659863636059,1.2165679883375085,1.8833030334076997
"Frequency: outpatient (Poisson, annual rate)",C(zone)[T.South East],0.49019302603320136,0.10978020681674253,4.465222285939821,7.998566341285819e-06,1.6326313298914794,1.3165620358870327,2.0245799185204
"Frequency: outpatient (Poisson, annual rate)",C(zone)[T.South South],0.32756210434092436,0.11561889325127478,2.8331191825978905,0.004609619583033666,1.3875812234394733,1.1062203044762653,1.740504711268474
"Frequency: outpatient (Poisson, annual rate)",C(zone)[T.South West],0.08712186970553337,0.13437751236371961,0.6483366760780673,0.516767217436916,1.091029635076853,0.8384016020900318,1.4197798067758292
"Frequency: outpatient (Poisson, annual rate)",C(quintile)[T.2],0.18704028386989963,0.08882945351244659,2.1056111061596474,0.03523814713588805,1.2056758533608762,1.0130185681754786,1.4349729699383658
"Frequency: outpatient (Poisson, annual rate)",C(quintile)[T.3],0.32788132676354065,0.0656600835172407,4.993617266378395,5.925877679542289e-07,1.3880242411860335,1.2204108484393337,1.5786579548877515
"Frequency: outpatient (Poisson, annual rate)",C(quintile)[T.4],0.4205184817131897,0.07999822510061681,5.256597645563856,1.467448778844747e-07,1.5227508694581136,1.301766203575535,1.7812493549659847
"Frequency: outpatient (Poisson, annual rate)",C(quintile)[T.5],0.5112528004756718,0.08667391365612216,5.89857754092035,3.6664865363864955e-09,1.6673787799377418,1.406876402698424,1.9761167295536917
"Frequency: outpatient (Poisson, annual rate)",female,0.07362355796627026,0.041547226994339104,1.7720450507154575,0.07638707922189959,1.076401526439247,0.9922214041404743,1.1677234952660887
"Frequency: outpatient (Poisson, annual rate)",urban,-0.0995389334931121,0.054569685268165136,-1.824070140847617,0.06814146897365618,0.9052547044545983,0.813429908365213,1.0074452285435882
"Frequency: outpatient (Poisson, annual rate)",chronic,0.4086071690246065,0.07237131915845935,5.645982051673645,1.6424098081794796e-08,1.5047205035458966,1.3057262292201077,1.7340417486625677
"Frequency: outpatient (Poisson, annual rate)",hhsize,-0.03321337454504914,0.008651634139424963,-3.8389712289956694,0.00012355090568035587,0.9673321335128804,0.9510671800412187,0.9838752468422126
"Frequency: inpatient (Poisson, annual rate)",Intercept,-3.7666598960062725,0.30312012517172227,-12.42629434080763,1.8815617339654763e-35,0.023129188306965677,0.012768483877194349,0.041896857675840636
"Frequency: inpatient (Poisson, annual rate)","C(age_band, Treatment(reference='25-44'))[T.0-4]",-0.49735076663979166,0.17557466449075193,-2.8327023610287956,0.0046156340950362215,0.6081396312998969,0.4310733106437824,0.8579371583113082
"Frequency: inpatient (Poisson, annual rate)","C(age_band, Treatment(reference='25-44'))[T.15-24]",-0.4618997326907325,0.1702257947949324,-2.7134532298537586,0.006658596683837228,0.6300855137537978,0.4513364131022452,0.8796271320400858
"Frequency: inpatient (Poisson, annual rate)","C(age_band, Treatment(reference='25-44'))[T.45-59]",0.02432401565636963,0.14767459326286292,0.1647136119960224,0.8691694025026039,1.0246222577642399,0.7671152814577576,1.3685697527897571
"Frequency: inpatient (Poisson, annual rate)","C(age_band, Treatment(reference='25-44'))[T.5-14]",-0.7488487830111196,0.1363817628786807,-5.490827858540463,4.000541226379303e-08,0.4729106622754866,0.36198335884540667,0.6178308726875809
"Frequency: inpatient (Poisson, annual rate)","C(age_band, Treatment(reference='25-44'))[T.60+]",0.3055605276690453,0.17010571226350507,1.7962978644462668,0.07244715732978876,1.357385642016618,0.972537476128322,1.8945241971423599
"Frequency: inpatient (Poisson, annual rate)",C(zone)[T.North East],0.26973041881577836,0.22073642446414854,1.221956999034327,0.22172388873283588,1.3096113565612413,0.8496651288904966,2.0185386535443093
"Frequency: inpatient (Poisson, annual rate)",C(zone)[T.North West],0.057080819093508,0.23687639917559636,0.24097301078607672,0.8095760344960439,1.0587413734559512,0.6655131223627462,1.684314340621544
"Frequency: inpatient (Poisson, annual rate)",C(zone)[T.South East],-0.5017609435799972,0.22854109715893225,-2.1954954702569847,0.028128075475770356,0.6054635332918072,0.38685648519815286,0.9476022870818082
"Frequency: inpatient (Poisson, annual rate)",C(zone)[T.South South],-0.5596766693789902,0.25298344439067705,-2.212305515592132,0.026945562264242197,0.57139378309124,0.3480099455725007,0.9381653010468385
