dimension,class,n,mean_insurer_cost,relativity
Age band,0-4,3386,15492.824143457385,0.8051377318147632
Age band,15-24,4300,12318.803947101636,0.6401888885331906
Age band,25-44,5556,23389.631133731546,1.2155223853715063
Age band,45-59,2639,35489.082347930096,1.8443118569745343
Age band,5-14,7409,8245.167962231593,0.4284884260011647
Age band,60+,1844,56812.68552000704,2.952466014867971
Sex,Male,12483,17970.162110876863,0.9338810941325387
Sex,Female,12651,20495.11516741934,1.065098937829672
Residence,Rural,17950,18346.888003737127,0.95345894695555
Residence,Urban,7184,21635.437788000236,1.1243597129969476
Consumption quintile,1,5117,7525.0874463528935,0.39106697282321623
Consumption quintile,2,4826,10046.54052240101,0.5221029280324578
Consumption quintile,3,5207,15306.11357137449,0.795434676702236
Consumption quintile,4,4961,23581.758744494968,1.2255069554741997
Consumption quintile,5,5023,40668.304950525104,2.1134679191749877
Severe functional difficulty,No,24412,17648.47459494973,0.9171634992945392
Severe functional difficulty,Yes,722,76762.22607887934,3.989212297378387
Sector,Formal,4807,19304.493952912053,1.0032242237541393
Sector,Informal,20327,19226.954007666318,0.9991945946134408
