pool_size,take_up,years,initial_capital_mult,subsidy_fraction_of_premium,subsidy_per_enrollee,member_contribution,initial_capital,psi,mc_se,mean_terminal_surplus,p05_terminal_surplus,income_per_enrollee
5000,Random,1,0.0,0.0,0.0,8571.47462433637,0.0,1.0,0.0,-66806522.41192625,-81565680.45940813,8571.47462433637
5000,Random,1,0.0,0.05,1345.6117731892903,8571.47462433637,0.0,1.0,0.0,-60751269.432574436,-75510427.48005632,9917.08639752566
5000,Random,1,0.0,0.1,2691.2235463785805,8571.47462433637,0.0,1.0,0.0,-54696016.45322263,-69455174.50070453,11262.69817071495
5000,Random,1,0.0,0.15,4036.8353195678706,8571.47462433637,0.0,1.0,0.0,-48640763.47387083,-63399921.52135271,12608.30994390424
5000,Random,1,0.0,0.2,5382.447092757161,8571.47462433637,0.0,1.0,0.0,-42585510.49451902,-57344668.542000905,13953.92171709353
5000,Random,1,0.0,0.25,6728.058865946451,8571.47462433637,0.0,1.0,0.0,-36530257.5151672,-51289415.562649086,15299.533490282822
5000,Random,1,0.0,0.3,8073.670639135741,8571.47462433637,0.0,1.0,0.0,-30475004.535815418,-45234162.5832973,16645.14526347211
5000,Random,1,0.0,0.35,9419.28241232503,8571.47462433637,0.0,0.9998,0.0001414072133945005,-24419751.556463595,-39178909.60394548,17990.7570366614
5000,Random,1,0.0,0.4,10764.894185514322,8571.47462433637,0.0,0.9917,0.0009072546500294156,-18364498.577111807,-33123656.624593694,19336.36880985069
5000,Random,1,0.0,0.45,12110.505958703612,8571.47462433637,0.0,0.9346,0.0024723033794419326,-12309245.597759984,-27068403.645241875,20681.980583039982
5000,Random,1,0.0,0.5,13456.117731892902,8571.47462433637,0.0,0.7592,0.004275691289136764,-6253992.618408183,-21013150.66589007,22027.592356229274
5000,Random,1,0.0,0.55,14801.729505082194,8571.47462433637,0.0,0.4879,0.004998535685578327,-198739.63905637962,-14957897.686538266,23373.204129418562
5000,Random,1,0.0,0.6,16147.341278271482,8571.47462433637,0.0,0.2445,0.004297903558713248,5856513.34029541,-8902644.707186477,24718.81590260785
5000,Random,1,0.0,0.65,17492.953051460772,8571.47462433637,0.0,0.0852,0.002791790823109783,11911766.319647228,-2847391.7278346596,26064.427675797142
5000,Random,1,0.0,0.7,18838.56482465006,8571.47462433637,0.0,0.0247,0.00155209245858615,17967019.29899903,3207861.251517144,27410.03944898643
5000,Random,1,0.0,0.75,20184.176597839352,8571.47462433637,0.0,0.0058,0.0007593655246322419,24022272.27835085,9263114.230868964,28755.651222175722
5000,Random,1,0.0,0.8,21529.788371028644,8571.47462433637,0.0,0.0008,0.0002827295527531567,30077525.257702637,15318367.210220752,30101.262995365014
5000,Random,1,0.0,0.85,22875.400144217932,8571.47462433637,0.0,0.0,0.0,36132778.23705445,21373620.18957257,31446.874768554302
5000,Random,1,0.0,0.9,24221.011917407224,8571.47462433637,0.0,0.0,0.0,42188031.21640627,27428873.168924388,32792.486541743594
5000,Random,1,0.0,0.95,25566.623690596512,8571.47462433637,0.0,0.0,0.0,48243284.19575807,33484126.148276176,34138.09831493288
5000,Random,1,0.0,1.0,26912.235463785804,8571.47462433637,0.0,0.0,0.0,54298537.17510985,39539379.12762797,35483.71008812217
5000,Random,1,0.0,1.05,28257.847236975096,8571.47462433637,0.0,0.0,0.0,60353790.1544617,45594632.10697982,36829.321861311466
5000,Random,1,0.0,1.1,29603.459010164388,8571.47462433637,0.0,0.0,0.0,66409043.13381352,51649885.086331636,38174.93363450076
5000,Random,1,0.0,1.15,30949.070783353673,8571.47462433637,0.0,0.0,0.0,72464296.11316529,57705138.065683395,39520.54540769004
5000,Random,1,0.0,1.2,32294.682556542964,8571.47462433637,0.0,0.0,0.0,78519549.0925171,63760391.04503521,40866.15718087934
5000,Random,1,0.0,1.25,33640.294329732256,8571.47462433637,0.0,0.0,0.0,84574802.07186893,69815644.02438703,42211.768954068626
5000,Random,1,0.0,1.3,34985.906102921545,8571.47462433637,0.0,0.0,0.0,90630055.0512207,75870897.00373882,43557.380727257914
5000,Random,1,0.0,1.35,36331.51787611084,8571.47462433637,0.0,0.0,0.0,96685308.03057253,81926149.98309064,44902.99250044721
5000,Random,1,0.0,1.4,37677.12964930012,8571.47462433637,0.0,0.0,0.0,102740561.00992432,87981402.96244243,46248.60427363649
5000,Random,1,0.0,1.45,39022.74142248942,8571.47462433637,0.0,0.0,0.0,108795813.98927613,94036655.94179425,47594.216046825786
5000,Random,1,0.0,1.5,40368.353195678705,8571.47462433637,0.0,0.0,0.0,114851066.9686279,100091908.92114604,48939.827820015074
5000,Random,1,0.0,1.55,41713.964968868,8571.47462433637,0.0,0.0,0.0,120906319.94797973,106147161.90049785,50285.43959320437
5000,Random,1,0.0,1.6,43059.57674205729,8571.47462433637,0.0,0.0,0.0,126961572.92733154,112202414.87984967,51631.05136639366
5000,Random,1,0.0,1.65,44405.18851524658,8571.47462433637,0.0,0.0,0.0,133016825.90668336,118257667.85920146,52976.663139582946
5000,Random,1,0.0,1.7,45750.800288435865,8571.47462433637,0.0,0.0,0.0,139072078.88603514,124312920.83855328,54322.274912772235
5000,Random,1,0.0,1.75,47096.41206162516,8571.47462433637,0.0,0.0,0.0,145127331.865387,130368173.8179051,55667.88668596153
5000,Random,1,0.0,1.8,48442.02383481445,8571.47462433637,0.0,0.0,0.0,151182584.84473878,136423426.7972569,57013.49845915082
5000,Random,1,0.0,1.85,49787.635608003744,8571.47462433637,0.0,0.0,0.0,157237837.82409057,142478679.7766087,58359.110232340114
5000,Random,1,0.0,1.9,51133.247381193025,8571.47462433637,0.0,0.0,0.0,163293090.80344233,148533932.75596046,59704.722005529395
5000,Random,1,0.0,1.95,52478.85915438232,8571.47462433637,0.0,0.0,0.0,169348343.78279418,154589185.73531228,61050.33377871869
5000,Random,1,0.0,2.0,53824.47092757161,8571.47462433637,0.0,0.0,0.0,175403596.76214597,160644438.7146641,62395.94555190798
5000,Random,1,0.0,2.05,55170.0827007609,8571.47462433637,0.0,0.0,0.0,181458849.7414978,166699691.69401592,63741.55732509727
5000,Random,1,0.0,2.1,56515.69447395019,8571.47462433637,0.0,0.0,0.0,187514102.7208496,172754944.67336774,65087.16909828656
5000,Random,1,0.0,2.15,57861.30624713947,8571.47462433637,0.0,0.0,0.0,193569355.7002014,178810197.6527195,66432.78087147584
5000,Random,1,0.0,2.2,59206.918020328776,8571.47462433637,0.0,0.0,0.0,199624608.67955327,184865450.63207138,67778.39264466515
5000,Random,1,0.0,2.25,60552.52979351806,8571.47462433637,0.0,0.0,0.0,205679861.65890497,190920703.61142308,69124.00441785442
5000,Random,1,0.0,2.3,61898.141566707345,8571.47462433637,0.0,0.0,0.0,211735114.63825685,196975956.59077495,70469.61619104372
5000,Random,1,0.0,2.35,63243.75333989664,8571.47462433637,0.0,0.0,0.0,217790367.6176086,203031209.5701267,71815.22796423301
5000,Random,1,0.0,2.4,64589.36511308593,8571.47462433637,0.0,0.0,0.0,223845620.59696046,209086462.5494786,73160.8397374223
5000,Random,1,0.0,2.45,65934.97688627522,8571.47462433637,0.0,0.0,0.0,229900873.5763123,215141715.52883047,74506.4515106116
5000,Random,1,0.0,2.5,67280.58865946451,8571.47462433637,0.0,0.0,0.0,235956126.55566406,221196968.50818217,75852.06328380088
5000,Random,1,0.1,0.0,0.0,8571.47462433637,4285737.312168185,1.0,0.0,-62520785.09975806,-77279943.14723994,8571.47462433637
5000,Random,1,0.1,0.05,1345.6117731892903,8571.47462433637,4958543.19876283,1.0,0.0,-55792726.233811624,-70551884.2812935,9917.08639752566
5000,Random,1,0.1,0.1,2691.2235463785805,8571.47462433637,5631349.085357475,1.0,0.0,-49064667.36786516,-63823825.41534705,11262.69817071495
5000,Random,1,0.1,0.15,4036.8353195678706,8571.47462433637,6304154.97195212,1.0,0.0,-42336608.50191871,-57095766.54940059,12608.30994390424
5000,Random,1,0.1,0.2,5382.447092757161,8571.47462433637,6976960.858546765,1.0,0.0,-35608549.635972254,-50367707.68345414,13953.92171709353
5000,Random,1,0.1,0.25,6728.058865946451,8571.47462433637,7649766.745141411,1.0,0.0,-28880490.770025782,-43639648.81750767,15299.533490282822
5000,Random,1,0.1,0.3,8073.670639135741,8571.47462433637,8322572.631736055,0.9993,0.00026448251359967713,-22152431.90407936,-36911589.95156124,16645.14526347211
5000,Random,1,0.1,0.35,9419.28241232503,8571.47462433637,8995378.5183307,0.9749,0.001564288656226849,-15424373.038132885,-30183531.085614774,17990.7570366614
5000,Random,1,0.1,0.4,10764.894185514322,8571.47462433637,9668184.404925345,0.8437,0.003631395186426286,-8696314.172186458,-23455472.219668347,19336.36880985069
5000,Random,1,0.1,0.45,12110.505958703612,8571.47462433637,10340990.29151999,0.5637,0.0049592571016231855,-1968255.3062400024,-16727413.353721889,20681.980583039982
5000,Random,1,0.1,0.5,13456.117731892902,8571.47462433637,11013796.178114638,0.2849,0.004513668020579272,4759803.559706454,-9999354.487775432,22027.592356229274
