pool_size,take_up,years,initial_capital_mult,ruin_target,min_subsidy_per_enrollee,min_subsidy_pct_of_gross_premium,total_income_per_enrollee,annual_cost_per_100k_enrollees_naira_bn
5000,Moderate adverse selection,1,0.0,0.01,36637.43490682212,134.46372449398044,46659.71454146109,3.663743490682212
5000,Moderate adverse selection,1,0.0,0.05,34460.67692529765,126.47476494312286,44482.956559936625,3.4460676925297653
5000,Moderate adverse selection,1,0.25,0.01,26284.836797518168,96.46846354007721,36307.11643215714,2.6284836797518167
5000,Moderate adverse selection,1,0.25,0.05,24108.078815993707,88.47950398921968,34130.35845063268,2.410807881599371
5000,Moderate adverse selection,3,0.0,0.01,36637.43490682212,134.46372449398044,46659.71454146109,3.663743490682212
5000,Moderate adverse selection,3,0.0,0.05,34580.77072527884,126.91552340984344,44603.05035991781,3.458077072527884
5000,Moderate adverse selection,3,0.25,0.01,30232.760299735648,110.95781028270721,40255.039934374625,3.0232760299735646
5000,Moderate adverse selection,3,0.25,0.05,29079.0822236455,106.7236751317978,39101.36185828447,2.90790822236455
5000,Random,1,0.0,0.01,18544.24107858771,68.05956065654755,28566.520713226684,1.854424107858771
5000,Random,1,0.0,0.05,17026.607996112114,62.4896675348282,27048.887630751087,1.7026607996112113
5000,Random,1,0.25,0.01,8191.642969283763,30.064299702644345,18213.922603922736,0.8191642969283763
5000,Random,1,0.25,0.05,6674.009886808166,24.494406580924995,16696.28952144714,0.6674009886808165
5000,Random,3,0.0,0.01,18552.942751141014,68.0914968252182,28575.222385779987,1.8552942751141015
5000,Random,3,0.0,0.05,17083.04219162439,62.6967877149582,27105.321826263364,1.7083042191624391
5000,Random,3,0.25,0.01,12969.382521856085,47.59916961193085,22991.66215649506,1.2969382521856085
5000,Random,3,0.25,0.05,12127.561476444505,44.50958669185639,22149.84111108348,1.2127561476444504
5000,Strong adverse selection,1,0.0,0.01,56994.96374017878,209.17826592922216,67017.24337481774,5.699496374017878
5000,Strong adverse selection,1,0.0,0.05,54242.39474575411,199.07601177692416,64264.67438039308,5.424239474575411
5000,Strong adverse selection,1,0.25,0.01,46642.36563087482,171.1830049753189,56664.64526551379,4.664236563087481
5000,Strong adverse selection,1,0.25,0.05,43889.79663645015,161.08075082302094,53912.07627108912,4.3889796636450145
5000,Strong adverse selection,3,0.0,0.01,57023.80203796321,209.2841058969498,67046.08167260219,5.702380203796321
5000,Strong adverse selection,3,0.0,0.05,54360.02323425043,199.50772225856784,64382.302868889405,5.436002323425043
5000,Strong adverse selection,3,0.25,0.01,50053.02175488928,183.7005168199539,60075.30138952826,5.005302175488929
5000,Strong adverse selection,3,0.25,0.05,48503.93402627477,178.01518142223364,58526.213660913745,4.8503934026274775
20000,Moderate adverse selection,1,0.0,0.01,33111.66432736702,121.52372896671294,43133.94396200599,3.311166432736702
20000,Moderate adverse selection,1,0.0,0.05,32158.348839228773,118.02494823932646,42180.62847386775,3.215834883922877
20000,Moderate adverse selection,1,0.25,0.01,22759.061345906,83.52845013141636,32781.34098054498,2.2759061345906
20000,Moderate adverse selection,1,0.25,0.05,21805.75072992483,80.02968728542326,31828.0303645638,2.180575072992483
20000,Moderate adverse selection,3,0.0,0.01,33122.30024628296,121.56276404857635,43144.579880921934,3.312230024628296
20000,Moderate adverse selection,3,0.0,0.05,32204.989999000765,118.1961268186569,42227.269633639735,3.2204989999000766
20000,Moderate adverse selection,3,0.25,0.01,28257.178556396237,103.70719134807585,38279.45819103521,2.8257178556396236
20000,Moderate adverse selection,3,0.25,0.05,27733.572706658782,101.78549587726594,37755.85234129775,2.7733572706658784
20000,Random,1,0.0,0.01,16012.70236246832,58.768513798713684,26034.981997107294,1.601270236246832
20000,Random,1,0.0,0.05,15298.62927581802,56.147781014442444,25320.908910456994,1.529862927581802
20000,Random,1,0.25,0.01,5660.104253164378,20.773252844810493,15682.383887803351,0.5660104253164379
20000,Random,1,0.25,0.05,4946.026294356991,18.152502179145813,14968.305928995964,0.49460262943569905
20000,Random,3,0.0,0.01,16018.763325881708,58.790758252143846,26041.04296052068,1.6018763325881709
20000,Random,3,0.0,0.05,15338.697895682733,56.29483759403229,25360.977530321707,1.5338697895682734
20000,Random,3,0.25,0.01,11555.511768813703,42.410096526145935,21577.791403452677,1.1555511768813702
20000,Random,3,0.25,0.05,11161.364004974264,40.96352756023407,21183.643639613238,1.1161364004974266
20000,Strong adverse selection,1,0.0,0.01,52548.57471878096,192.85949170589447,62570.854353419934,5.254857471878097
20000,Strong adverse selection,1,0.0,0.05,51334.70601406622,188.4044498205185,61356.985648705195,5.133470601406622
20000,Strong adverse selection,1,0.25,0.01,42195.97660947702,154.86423075199127,52218.25624411599,4.219597660947701
20000,Strong adverse selection,1,0.25,0.05,40982.10790476226,150.40918886661527,51004.387539401236,4.098210790476227
20000,Strong adverse selection,3,0.0,0.01,52558.6064902184,192.89630949497223,62580.886124857374,5.25586064902184
20000,Strong adverse selection,3,0.0,0.05,51401.323017885545,188.64894211292264,61423.60265252452,5.1401323017885545
20000,Strong adverse selection,3,0.25,0.01,47389.73991119917,173.92595708370212,57412.01954583814,4.738973991119917
20000,Strong adverse selection,3,0.25,0.05,46720.276294816525,171.4689463376999,56742.5559294555,4.6720276294816525
100000,Moderate adverse selection,1,0.0,0.01,31369.965612722364,115.13148844242095,41392.24524736134,3.136996561272236
100000,Moderate adverse selection,1,0.0,0.05,30921.89281426928,113.48700821399689,40944.172448908255,3.092189281426928
100000,Moderate adverse selection,1,0.25,0.01,21017.362631261345,77.13620960712434,31039.64226590032,2.1017362631261345
100000,Moderate adverse selection,1,0.25,0.05,20569.294704965338,75.49174726009369,30591.57433960431,2.056929470496534
100000,Moderate adverse selection,3,0.0,0.01,31371.412643376527,115.13679921627043,41393.6922780155,3.137141264337653
100000,Moderate adverse selection,3,0.0,0.05,30945.459438088063,113.57350051403047,40967.73907272704,3.0945459438088063
100000,Moderate adverse selection,3,0.25,0.01,27275.38531009782,100.10389387607574,37297.664944736796,2.727538531009782
100000,Moderate adverse selection,3,0.25,0.05,27045.253842358292,99.25928413867949,37067.53347699727,2.704525384235829
100000,Random,1,0.0,0.01,14699.022647716065,53.94715368747712,24721.30228235504,1.4699022647716065
100000,Random,1,0.0,0.05,14392.41780237482,52.821877598762526,24414.697437013794,1.4392417802374822
100000,Random,1,0.25,0.01,4346.424538412117,15.951892733573912,14368.70417305109,0.4346424538412117
100000,Random,1,0.25,0.05,4039.8148209137885,14.826598763465881,14062.094455552762,0.40398148209137885
100000,Random,3,0.0,0.01,14699.709621865011,53.949674963951125,24721.989256503985,1.469970962186501
100000,Random,3,0.0,0.05,14407.638421107476,52.877739071846015,24429.91805574645,1.4407638421107476
100000,Random,3,0.25,0.01,10821.06332123512,39.7145837545395,20843.342955874094,1.082106332123512
100000,Random,3,0.25,0.05,10639.85805494032,39.049538969993584,20662.137689579293,1.0639858054940319
100000,Strong adverse selection,1,0.0,0.01,50294.50047647912,184.5867723226547,60316.780111118096,5.029450047647912
100000,Strong adverse selection,1,0.0,0.05,49794.714602728855,182.75249898433688,59816.99423736783,4.979471460272885
100000,Strong adverse selection,1,0.25,0.01,39941.90236717518,146.59151136875153,49964.18200181415,3.9941902367175177
