tilt,tilt_strength,take_up,expected_claim_per_enrollee,selection_loading_pct,min_subsidy_per_enrollee,min_subsidy_pct_of_gross_premium
Moderate tilt,1.5,0.1,35950.76066298862,68.45114830179429,32232.83437673993,118.29831898212433
Moderate tilt,1.5,0.25,35938.302945712974,68.39277633019753,32307.94842251501,118.57399642467499
Moderate tilt,1.5,0.5,31903.873262302717,49.489022963639265,27611.851606211294,101.33876502513885
Moderate tilt,1.5,0.75,26198.350839624007,22.755185180025393,20992.12972971959,77.0436018705368
Moderate tilt,1.5,1.0,21341.950485597066,0.0,15358.011126366553,56.36571943759919
Strong tilt,2.0,0.1,52716.105416731516,147.0069708591432,51485.54799740907,188.95805776119235
Strong tilt,2.0,0.25,45207.53142264482,111.82474138506598,42789.77562633398,157.04354345798487
Strong tilt,2.0,0.5,34168.37785554421,60.09960232361728,30196.521195339526,110.82480847835544
Strong tilt,2.0,0.75,26539.950093897438,24.355785155664744,21351.134624506965,78.3611923456192
Strong tilt,2.0,1.0,21341.950485597066,0.0,15358.011126366553,56.36571943759919
