group,estimate,se,ci_low,ci_high,n,wtd_n,scenario,measure,estimate_pct,ci_low_pct,ci_high_pct
Q1 (poorest),0.13556378673103522,0.018462000039548572,0.09937893157094296,0.17174864189112748,700,42275561.8270552,Baseline (no coverage),CHE > 10%,13.556378673103522,9.937893157094296,17.17486418911275
Q2,0.17145452317467302,0.021329611652842376,0.1296492525308761,0.21325979381846993,707,42250411.20141057,Baseline (no coverage),CHE > 10%,17.145452317467303,12.96492525308761,21.32597938184699
Q3,0.17569662702353075,0.021495550369397206,0.13356612247164557,0.21782713157541594,834,42327655.09285391,Baseline (no coverage),CHE > 10%,17.569662702353074,13.356612247164556,21.782713157541593
Q4,0.17109664731636226,0.019542347812294414,0.1327943494309101,0.20939894520181443,1016,42290878.59413037,Baseline (no coverage),CHE > 10%,17.109664731636226,13.27943494309101,20.939894520181443
Q5 (richest),0.1796805435868748,0.016686547787039194,0.14697551089797145,0.21238557627577814,1428,42285095.91731937,Baseline (no coverage),CHE > 10%,17.96805435868748,14.697551089797145,21.238557627577816
Q1 (poorest),0.1502769714645633,0.018684173648844275,0.11365666403193621,0.18689727889719043,700,42275561.8270552,Baseline (no coverage),"CHE, CTP >= 40%",15.027697146456331,11.365666403193622,18.689727889719045
Q2,0.1489084790312221,0.02290407740358759,0.10401731222107274,0.19379964584137144,707,42250411.20141057,Baseline (no coverage),"CHE, CTP >= 40%",14.890847903122209,10.401731222107275,19.379964584137145
Q3,0.1243503733650002,0.01602922019863782,0.0929336790754081,0.1557670676545923,834,42327655.09285391,Baseline (no coverage),"CHE, CTP >= 40%",12.43503733650002,9.29336790754081,15.57670676545923
Q4,0.08631738104279477,0.012657554563099409,0.06150902996676931,0.11112573211882022,1016,42290878.59413037,Baseline (no coverage),"CHE, CTP >= 40%",8.631738104279476,6.150902996676931,11.112573211882022
Q5 (richest),0.05696415118769344,0.00963629503889605,0.03807735996705519,0.07585094240833169,1428,42285095.91731937,Baseline (no coverage),"CHE, CTP >= 40%",5.696415118769345,3.807735996705519,7.585094240833169
Q1 (poorest),0.037548378639365464,0.009592105099556367,0.018748198108311995,0.056348559170418935,700,42275561.8270552,"Vulnerable group only, fully subsidised",CHE > 10%,3.7548378639365465,1.8748198108311995,5.634855917041894
Q2,0.04463316733577742,0.011416749545933315,0.02225674940523411,0.06700958526632073,707,42250411.20141057,"Vulnerable group only, fully subsidised",CHE > 10%,4.463316733577742,2.225674940523411,6.700958526632073
Q3,0.17569662702353075,0.021495550369397206,0.13356612247164557,0.21782713157541594,834,42327655.09285391,"Vulnerable group only, fully subsidised",CHE > 10%,17.569662702353074,13.356612247164556,21.782713157541593
Q4,0.17109664731636226,0.019542347812294414,0.1327943494309101,0.20939894520181443,1016,42290878.59413037,"Vulnerable group only, fully subsidised",CHE > 10%,17.109664731636226,13.27943494309101,20.939894520181443
Q5 (richest),0.1796805435868748,0.016686547787039194,0.14697551089797145,0.21238557627577814,1428,42285095.91731937,"Vulnerable group only, fully subsidised",CHE > 10%,17.96805435868748,14.697551089797145,21.238557627577816
Q1 (poorest),0.0422123398195739,0.008756680513351224,0.025049561389281792,0.059375118249866014,700,42275561.8270552,"Vulnerable group only, fully subsidised","CHE, CTP >= 40%",4.221233981957391,2.504956138928179,5.9375118249866015
Q2,0.0473103436386859,0.01324146100886007,0.021357556958628753,0.07326313031874304,707,42250411.20141057,"Vulnerable group only, fully subsidised","CHE, CTP >= 40%",4.73103436386859,2.1357556958628754,7.326313031874304
Q3,0.1243503733650002,0.01602922019863782,0.0929336790754081,0.1557670676545923,834,42327655.09285391,"Vulnerable group only, fully subsidised","CHE, CTP >= 40%",12.43503733650002,9.29336790754081,15.57670676545923
