check,note,che10_pct,che10_se,che_ctp40_pct,che_ctp40_se,pure_premium,gross_premium,affordable_contribution,min_subsidy_random,min_subsidy_adverse,tweedie_p
Main specification,Health-module OOP; eq. scale 0.56; 13x annualiser; transport excluded; p profiled,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50157.3247787719,
Equivalence scale hhsize^0.5,Xu et al. capacity to pay recomputed,16.67009808666336,0.8844224343388375,11.246397010911526,0.7599645056465498,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50157.3247787719,
Equivalence scale hhsize^0.75,Xu et al. capacity to pay recomputed,16.67009808666336,0.8844224343388375,11.505527896238716,0.7830401916442603,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50157.3247787719,
Equivalence scale hhsize^1.0,Xu et al. capacity to pay recomputed,16.67009808666336,0.8844224343388375,11.50337442454544,0.7826419763124721,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50157.3247787719,
Outpatient annualiser x10,Seasonally damped,13.100820881743013,0.8261740630492247,9.02032143148699,0.6637167456826796,16048.827242329126,20379.37120893378,8471.394891244658,10513.074742920948,38199.242595777054,
Outpatient annualiser x6,Strongly damped,7.320590551361267,0.6164627372159107,5.398418400751982,0.5347805925402442,10288.165827354129,13067.719755846865,8355.41209288322,3854.014440180059,22029.79934660167,
Outpatient annualiser x13,Main: window scaled to a full year,16.67009808666336,0.8844224343388375,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50157.3247787719,
OOP including transport,WHO excludes transport by default,17.82806445833997,0.9195619044095301,12.149200635901686,0.7881080015805024,21795.54232097195,27672.46548423825,8626.48900879901,17093.062850035007,53648.06096842524,
OOP from the wave-5 consumption module,"Data-quality check, not a credible alternative: the wave-5 non-food health items are answered by only 17% of households and imply an OOP share of 0.3% of consumption, against 5.4% in the published wave-4 aggregate",0.06589953313159688,0.027845017864663466,0.1274546906626506,0.08791292402524034,20369.323303560373,25863.960003223194,8124.30294871046,15997.589067351084,50604.49558984421,
Top 1% of costs trimmed,Kept in the main results: the tail is the risk,16.61002457885955,0.8849511115194195,10.137489137239067,0.7247509169391125,16359.423155532833,20741.520254690666,8552.911204964346,9692.050614852778,31120.018945218006,
Formal = public-sector employee only,Alternative informality rule,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8595.409687651178,15162.227984395093,47628.62607968578,
Formal = any wage employee,Alternative informality rule,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8568.358895997399,15776.554259114593,50543.59111869433,
Sector set by the household head,Alternative informality rule,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8593.757617600899,15466.227733626165,48704.39541074817,
Tweedie p fixed at 1.4,Refitted; p drives the adverse-selection tilt,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50069.99861700929,1.4
Tweedie p fixed at 1.5,Refitted; p drives the adverse-selection tilt,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50111.224409083865,1.5
Tweedie p fixed at 1.7,Refitted; p drives the adverse-selection tilt,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50355.98462828543,1.7
Induced-demand elasticity -0.10,RAND HIE central estimate is -0.20,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,17768.124345738783,22561.00378698288,8571.47462433637,12483.615100631396,42744.44632303747,
Induced-demand elasticity -0.20,RAND HIE central estimate is -0.20,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50157.3247787719,
Induced-demand elasticity -0.35,RAND HIE central estimate is -0.20,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,24271.121740292765,30818.397250649126,8571.47462433637,20125.095732140817,61499.38281061407,
Outpatient covered share 70%,Benefit-package breadth,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,17065.414550854126,21669.820663083592,8571.47462433637,11569.045651909319,40897.68857256837,
Outpatient covered share 85%,Benefit-package breadth,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50157.3247787719,
Outpatient covered share 100%,Benefit-package breadth,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,23673.23205626662,30058.289312352455,8571.47462433637,19456.59376250324,59537.046250875916,
Drug co-payment 0%,NHIA reference rule is 10%,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,23082.491722065293,29308.330901620895,8571.47462433637,18732.527818483934,57875.29565690496,
Drug co-payment 10%,NHIA reference rule is 10%,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,20369.323303560373,25863.960003223194,8571.47462433637,15550.413631442349,50157.3247787719,
Drug co-payment 20%,NHIA reference rule is 10%,16.67009808666336,0.8844224343388376,11.335744741445973,0.759452604623934,17976.292751545712,22826.10832039025,8571.47462433637,12672.920886358781,43496.7581257832,
