p,loglik,deviance,converged
1.2,-136278.45366661838,204237759.3802752,True
1.25,-127190.132286152,125671976.76619348,True
1.3,-121367.11245679727,77923463.38584861,True
1.35,-117403.9434722657,48716822.75198443,True
1.4,-114604.4711436629,30732153.914637756,True
1.45,-112587.61105326423,19580593.910541043,True
1.5,-111131.02913699576,12616001.308007706,True
1.55,-110101.50669614397,8233944.186616831,True
1.6,-109422.18086051077,5456089.57429856,True
1.65,-109058.4973504274,3682594.3843793888,True
1.7,-109017.29869439159,2543945.690921018,True
1.75,-109362.16344460878,1812135.0548835774,True
1.8,-110263.93851125485,1347920.5832852824,True
1.85,-112161.90740418812,1072006.1915030107,True
